Vehicle 250
v 2477.57 3607.30
v 2835.21 3593.14
v 3587.77 1513.28
v 3604.65 1525.36
v 3524.71 2323.06
v 2500.35 3618.53
v 1455.29 1403.64
v 655.14 3267.35
v 3343.11 595.69
v 2810.74 3098.34
v 2979.51 1460.95
v 2824.33 3092.59
v 967.05 2868.85
v 3103.48 2443.50
v 829.48 856.60
v 1680.52 1913.49
v 816.11 870.19
v 655.22 3275.97
v 3822.65 3458.69
v 640.07 3261.22
v 906.18 3041.50
v 30.41 3706.85
v 3381.36 2698.10
v 2972.16 1443.42
v 245.23 3108.00
v 3582.88 1533.89
v -1.58 504.73
v 3804.41 897.78
v 545.00 2560.61
v 9.66 503.91
v 562.08 2539.89
v 3558.71 1490.44
v 3846.26 924.32
v 931.02 2984.14
v 1674.46 1916.13
v 3815.50 925.80
v 1.95 502.45
v 3369.17 2721.91
v 1453.64 1384.37
v 2855.78 3574.40
v 1456.49 1396.26
v 2483.00 3622.82
v 2491.88 3627.08
v 25.28 3692.41
v 1454.06 1403.23
v 232.65 3110.42
v 3591.76 1515.29
v 3540.20 2300.35
v 3108.35 2460.65
v 1722.80 2421.68
v 1738.51 2412.07
v 3588.18 1503.92
v 1724.06 2407.17
v 2814.82 3581.91
v 2488.92 3613.70
v -11.70 516.73
v 216.32 3105.30
v 543.28 2567.21
v 1720.05 2405.80
v 3520.10 2325.62
v 3348.04 2713.33
v 3359.03 623.14
v 3521.79 2313.07
v 444.99 1135.08
v 663.52 3276.90
v 2501.06 3635.05
v -12.64 511.18
v 1459.52 1397.41
v 2478.57 3628.95
v 1688.75 1928.58
v 3386.01 2734.12
v 3789.08 4027.90
v 2835.55 3604.03
v 976.30 2853.48
v 42.20 3689.12
v 30.97 499.62
v 1739.19 2405.71
v 3365.80 2715.13
v 1449.68 1417.74
v 2860.56 3595.32
v 3268.92 2041.59
v 2828.06 3581.82
v 3784.41 3987.33
v -18.54 501.92
v 1457.28 1402.33
v 1695.51 1919.42
v 3367.86 2722.65
v 814.53 864.16
v 833.47 891.53
v 3847.67 906.31
v 1445.16 1398.13
v 648.96 3272.63
v 820.20 872.42
v 1463.91 1403.82
v 3514.69 2327.93
v 908.96 3010.43
v 925.39 3018.24
